target,source,ID
EDW_SOR.IP_X_IP,EDW_SOR_STG.T_RM_SALE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.OU_GEO,EDW_SOR_STG.T_COM_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.ORG,EDW_SOR_STG.T_CUS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.ORG,EDW_DWH.KDR_TCB_CPTY_T24CUST,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.ORG,EDW_DWH.KDR_CPTYDEFT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IDV,EDW_DWH.LOS_VERIFICATION,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IDV,EDW_DWH_STG.I$_LOS_MAINAPPLICANT_TSD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IDV,EDW_SOR_STG.TMP_LOS_MAINAPP_IP,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IDV,EDW_SOR_STG.TMP_LOS_MAINAPP_IP2,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IDV,EDW_SOR_STG.T_CMS_CLIENTPERSONE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IDV,EDW_SOR_STG.T_LOS_MAINAPPLICATION,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IDV,EDW_SOR_STG.T_CUS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IDV,EDW_SOR_STG.T_CMS_IDENTITY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IDV,EDW_SOR_STG.TMP_LOS_MAINAPP_IP3,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CST,EDW_DWH.CUSTOMER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CST,EDW_DWH_STG.T_PORTFOLIO_PBC_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CST,EDW_SOR_STG.T_RM_SALE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CST,EDW_SOR_STG.T_CUS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_COM_TCB,EDW_DWH_STG.T_COMPANY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_DEP_DAO,EDW_DWH_STG.I$_DEPT_ACCT_OFFICER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_DEP_DAO,EDW_DWH_STG.I$_DEPARTMENT_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CUS,EDW_DWH.BF_CUS_INFO,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CUS,EDW_DWH.BF_DB_CUSTOMER_ECO,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CUS,EDW_DMT.ECO_SCTR_DIM,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CUS,EDW_DWH.SECTOR,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CUS,EDW_DWH_STG.T_CUSTOMER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CUS,EDW_DWH_STG.I$_CUSTOMER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CUS,EDW_DWH_STG.I$_SECTOR,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CUS,EDW_DWH.ECO_SCTR_ECO,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CUS,EDW_DWH.CUSTOMER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CUS,EDW_DWH_STG.I$_CUS_ASSET_CLASS_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_LOS_MAINAPPLICATION,EDW_DWH.LOS_MAINAPPLICANT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
